Province,DEI_2015,DEI_2016,DEI_2017,DEI_2018,DEI_2019,DEI_2020,DEI_2021,DEI_2022
An Giang,0.828405094,0.82480152,0.82478826,0.775648339,0.819609999,0.813264821,0.799473404,0.799418686
Ba Ria - Vung Tau,0.53328976,0.527542568,0.524529946,0.494167344,0.48238105,0.482685305,0.477513524,0.465217937
Bac Giang,0.678340649,0.678116317,0.677229374,0.704956448,0.677112149,0.634019052,0.632891984,0.624498508
Bac Kan,0.449241438,0.44925691,0.449235293,0.415968045,0.436188493,0.425783362,0.425844931,0.425179744
Bac Lieu,0.586578717,0.586583679,0.569204782,0.581742497,0.577900863,0.57599731,0.576120448,0.576053322
Bac Ninh,0.668626401,0.666740863,0.665374567,0.699054216,0.665057243,0.629420546,0.595562773,0.591808448
Ben Tre,0.815714817,0.814817278,0.813921865,0.826278836,0.818554614,0.808463898,0.807213692,0.805080129
Binh Dinh,0.461408213,0.45978391,0.459458516,0.440250629,0.452564635,0.406784928,0.401551578,0.401334608
Binh Duong,0.491407615,0.495449868,0.496788176,0.481260257,0.471594294,0.437931387,0.45752104,0.458066053
Binh Phuoc,0.782086909,0.797258365,0.79558819,0.778764547,0.771082673,0.76710969,0.615928584,0.583848168
Binh Thuan,0.553751617,0.553826594,0.553789863,0.556315017,0.560743202,0.557447476,0.555619241,0.555008765
Ca Mau,0.546114187,0.545931484,0.541308258,0.528614266,0.540915012,0.53481611,0.534385128,0.534023791
Can Tho,0.591097908,0.590906008,0.589140363,0.567424016,0.573038509,0.567138063,0.56465648,0.563583394
Cao Bang,0.469948466,0.468193594,0.467842659,0.460618173,0.466050585,0.454125062,0.4542482,0.454175861
Da Nang,0.003225354,0.003225354,0.003225354,0.005495147,0.003225354,0.010485795,0.00866264,0.008029241
Dak Lak,0.662666902,0.662860008,0.661117843,0.646537433,0.660007994,0.673456004,0.673474834,0.672783815
Dak Nong,0.764372951,0.767526389,0.763786753,0.746354399,0.770528834,0.784241949,0.777573687,0.774396603
Dien Bien,0.661004712,0.659266058,0.661003165,0.674660751,0.662183504,0.72768947,0.727627901,0.727693937
Dong Nai,0.593546148,0.592008289,0.589841326,0.599653509,0.535407934,0.538495044,0.533574619,0.531115512
Dong Thap,0.886297139,0.886309217,0.885686734,0.857083204,0.877720203,0.867771454,0.861306728,0.86096828
Gia Lai,0.652148507,0.651025819,0.64987433,0.66762403,0.656234072,0.674327243,0.669738571,0.669161349
Ha Giang,0.573402425,0.576205122,0.57088282,0.569775252,0.564134522,0.570707146,0.570891852,0.57015053
Ha Nam,0.725007104,0.722303184,0.719721855,0.736681392,0.7109819,0.634761187,0.631810964,0.631595273
Ha Noi,0.502874514,0.470161606,0.436641064,0.510930807,0.494096744,0.498316003,0.498235605,0.498855265
Ha Tinh,0.556998307,0.555768922,0.555187946,0.550345148,0.54585725,0.517078602,0.516401345,0.516417985
Hai Duong,0.687444465,0.680439637,0.679390664,0.69933274,0.640434794,0.631897048,0.628823687,0.628272414
Hai Phong,0.426886762,0.425548783,0.42482171,0.431533432,0.431383188,0.430526305,0.429337667,0.428880265
Hau Giang,0.888761285,0.886304885,0.884492881,0.860019165,0.871920195,0.866644106,0.859440554,0.86583485
Ho Chi Minh,0.210019719,0.211689168,0.213179896,0.221970205,0.221093074,0.214833375,0.215018081,0.222446251
Hoa Binh,0.540106829,0.538638411,0.538644212,0.535790472,0.532678819,0.488457162,0.487206956,0.478104771
Hung Yen,0.795938274,0.795860477,0.794901208,0.821857803,0.770958324,0.755033811,0.750549447,0.749242536
Khanh Hoa,0.354986229,0.354335617,0.353641311,0.369774195,0.370482626,0.366694349,0.366817486,0.366876306
Kien Giang,0.800052002,0.794239141,0.788204863,0.773471987,0.795080485,0.787546671,0.785453331,0.778966504
Kon Tum,0.46220796,0.461257672,0.462812476,0.481836402,0.484783074,0.501615878,0.501966462,0.502424507
Lai Chau,0.475946547,0.476016214,0.477078682,0.491530081,0.494912008,0.480599051,0.479490812,0.479408158
Lam Dong,0.505784283,0.503721545,0.503818911,0.498988787,0.504539815,0.505254731,0.504620213,0.504453642
Lang Son,0.472978272,0.470487695,0.470184582,0.45716386,0.46542413,0.4528351,0.452588825,0.451993692
Lao Cai,0.500884717,0.501020204,0.500844313,0.507918211,0.49636547,0.481517223,0.477852084,0.476021638
Long An,0.845779819,0.845930908,0.845386252,0.915609137,0.856093093,0.834545496,0.83329529,0.833107357
Nam Dinh,0.74235725,0.741010247,0.74028536,0.722058168,0.74100628,0.723943046,0.721977924,0.721776039
Nghe An,0.533972818,0.530577479,0.529743011,0.553795984,0.531467763,0.524004186,0.52381948,0.523647322
Ninh Binh,0.663941193,0.660776229,0.658229451,0.659861679,0.656342249,0.645100555,0.645692333,0.645022551
Ninh Thuan,0.442258324,0.442146585,0.442175055,0.428032329,0.443109043,0.450259696,0.449071058,0.448700638
Phu Tho,0.605335368,0.604501562,0.60302517,0.622593528,0.605953223,0.60195125,0.601458699,0.599927657
Phu Yen,0.52755597,0.52551872,0.524784259,0.508525948,0.526877926,0.513917991,0.513283474,0.513247091
Quang Binh,0.458284717,0.457891723,0.45757277,0.452224448,0.448959247,0.438733742,0.437421967,0.436840388
Quang Nam,0.490580432,0.490036273,0.489985546,0.48185132,0.482967376,0.461132256,0.45988205,0.457522636
Quang Ngai,0.591570175,0.602076476,0.599095648,0.576316502,0.592313328,0.587241381,0.587179812,0.582605727
Quang Ninh,0.193632234,0.181857773,0.178281393,0.1878399,0.172621025,0.171290421,0.149599365,0.153332589
Quang Tri,0.491536033,0.490786464,0.488215366,0.483859744,0.482568088,0.472310004,0.471571178,0.470440906
Soc Trang,0.727342939,0.727366786,0.726709204,0.684007084,0.715065204,0.716703652,0.715453446,0.706636295
Son La,0.585221057,0.587041119,0.58691303,0.582772288,0.586828017,0.605801981,0.604428638,0.604406844
Tay Ninh,0.796289601,0.7948404,0.793414034,0.833566966,0.822149236,0.725525332,0.724706108,0.723677834
Thai Binh,0.816970382,0.816827238,0.814909093,0.83308259,0.813813814,0.801595689,0.799710965,0.800207317
Thai Nguyen,0.508596835,0.502920157,0.492815967,0.51472539,0.511513218,0.507521405,0.507151992,0.462875897
Thanh Hoa,0.552043453,0.544139417,0.543435697,0.570637427,0.556208876,0.503387905,0.481512143,0.475725512
Thua Thien Hue,0.297466,0.297102501,0.29608317,0.285786441,0.288853411,0.289246734,0.269483141,0.269492502
Tien Giang,0.866453924,0.86594947,0.865420083,0.873005011,0.873975551,0.861261286,0.86101501,0.854976423
Tra Vinh,0.795887422,0.794730782,0.793560848,0.779413789,0.798128119,0.774934896,0.774380777,0.770440988
Tuyen Quang,0.526752002,0.526022646,0.525305738,0.524206339,0.524829982,0.528637089,0.527633158,0.520943749
Vinh Long,0.902044487,0.901003075,0.900751475,0.888217334,0.9023839,0.861081379,0.860958242,0.860802931
Vinh Phuc,0.65035524,0.649767908,0.647313703,0.659112589,0.636558335,0.601219321,0.599273029,0.596146426
Yen Bai,0.491616459,0.491082235,0.490297708,0.494560738,0.495441332,0.491784862,0.491107605,0.490460289
