Province,DEI_2015,DEI_2016,DEI_2017,DEI_2018,DEI_2019,DEI_2020,DEI_2021,DEI_2022
An Giang,0.937580644,0.935150307,0.935551119,0.935916165,0.938901057,0.924954169,0.927333253,0.927058541
Ba Ria - Vung Tau,0.603376483,0.601024611,0.599831685,0.599141911,0.597860781,0.584598443,0.587267594,0.58618415
Bac Giang,0.445126496,0.447017203,0.444947731,0.438401302,0.437047197,0.433275035,0.426073127,0.425930512
Bac Kan,0.092948424,0.095877505,0.094586902,0.078789689,0.081498166,0.086029954,0.075976726,0.076672037
Bac Lieu,0.436546361,0.4377796,0.436455216,0.431288367,0.431471038,0.430117824,0.425807783,0.426121639
Bac Ninh,0.616569864,0.61340801,0.607416005,0.599634884,0.597246868,0.573104809,0.565610465,0.565414124
Ben Tre,0.694549651,0.695443537,0.694909886,0.690242185,0.690068368,0.672720461,0.667434419,0.667582953
Binh Dinh,0.25082277,0.250118338,0.248188762,0.237653278,0.239293801,0.247499312,0.242432329,0.242754476
Binh Duong,0.815666879,0.813460389,0.813637408,0.819591623,0.817721089,0.798830797,0.846342764,0.845556597
Binh Phuoc,0.761339816,0.763227928,0.761790717,0.759237424,0.758688286,0.752758753,0.461628178,0.45973509
Binh Thuan,0.517037503,0.517347638,0.517210616,0.514866746,0.515354604,0.510001348,0.509657668,0.509712811
Ca Mau,0.31879409,0.320641084,0.311405083,0.301845307,0.303563339,0.29518027,0.288057606,0.28855455
Can Tho,0.889763318,0.887287735,0.888173987,0.89767452,0.897048826,0.884562088,0.892607911,0.891838747
Cao Bang,0.176837848,0.179047386,0.177954722,0.166574626,0.167963594,0.172622722,0.164297978,0.164907355
Da Nang,0.002610834,0.001311492,0,4.22E-04,2.27E-04,0.015932101,0.013603312,0.013549011
Dak Lak,0.558070101,0.560076699,0.558380936,0.553425312,0.5548022,0.581844838,0.580317958,0.58046753
Dak Nong,0.650534876,0.652952558,0.649864662,0.657160518,0.659378275,0.687687891,0.683197698,0.683177812
Dien Bien,0.453503291,0.451635213,0.454457747,0.441934427,0.441695846,0.578897333,0.574488655,0.574817715
Dong Nai,0.543944202,0.543052265,0.541506006,0.539282367,0.534355188,0.5427097,0.538952512,0.538770941
Dong Thap,0.909669174,0.909478515,0.908365052,0.90701674,0.908500182,0.88984102,0.890059726,0.889975379
Gia Lai,0.597805108,0.598124491,0.597804998,0.596051091,0.595375411,0.631363463,0.623864556,0.623921814
Ha Giang,0.286507918,0.289182375,0.283032833,0.271026652,0.271547861,0.287058699,0.278674566,0.279242451
Ha Nam,0.579420925,0.576934863,0.57273264,0.563858455,0.562370729,0.542565422,0.536086745,0.536274651
Ha Noi,0.526402033,0.516878301,0.509973516,0.517241883,0.5158789,0.521685749,0.521188411,0.521182658
Ha Tinh,0.289309949,0.29024475,0.289212898,0.277736955,0.278265133,0.25557238,0.247785754,0.248356082
Hai Duong,0.602676567,0.601454607,0.599921839,0.596141335,0.591779795,0.577936471,0.572581352,0.572662376
Hai Phong,0.358366923,0.356527686,0.355066644,0.351805153,0.352052317,0.349755114,0.346100498,0.346245218
Hau Giang,0.988223179,0.986002528,0.986166681,0.986913701,0.987450322,0.986308999,0.98936705,0.989534245
Ho Chi Minh,0.332003202,0.330064625,0.328401186,0.329863736,0.329443094,0.31337484,0.316304277,0.316603706
Hoa Binh,0.21830599,0.220783681,0.219625596,0.207493076,0.208312016,0.219539684,0.21031143,0.210268258
Hung Yen,0.686782497,0.686545161,0.683782228,0.67818647,0.674594361,0.645851567,0.635215752,0.635369694
Khanh Hoa,0.202111357,0.203293728,0.201537288,0.197095219,0.197712984,0.194292347,0.189197188,0.189577622
Kien Giang,0.854016416,0.852914931,0.85246516,0.853734218,0.855196555,0.840907511,0.84234637,0.841776914
Kon Tum,0.30083349,0.302051767,0.303901318,0.299426919,0.300254805,0.343794061,0.33796207,0.338341281
Lai Chau,0.128681495,0.132667898,0.131533094,0.122081333,0.123551875,0.133723583,0.123380886,0.124129737
Lam Dong,0.422319255,0.422771475,0.422487084,0.419079115,0.419781529,0.423464915,0.419817396,0.41998556
Lang Son,0.144252806,0.146671665,0.145457874,0.131160269,0.132878633,0.142609457,0.133409613,0.134044745
Lao Cai,0.236847212,0.239031903,0.236928031,0.225271891,0.225269295,0.234982692,0.221519776,0.221936254
Long An,0.836163951,0.836260061,0.835035441,0.837694963,0.833201972,0.816585203,0.814785774,0.814811988
Nam Dinh,0.642530663,0.640947622,0.639373661,0.634206321,0.636002931,0.627981694,0.621457772,0.621656796
Nghe An,0.207444436,0.20861745,0.206222522,0.194815232,0.194201436,0.194140404,0.184363372,0.18507074
Ninh Binh,0.516221739,0.514826368,0.51288475,0.506410589,0.506628695,0.490652015,0.488487266,0.488774021
Ninh Thuan,0.271489035,0.272879437,0.272265514,0.261320045,0.263064246,0.274581659,0.268117613,0.268475406
Phu Tho,0.386336707,0.388041615,0.385960681,0.379356373,0.378819964,0.381972254,0.375427332,0.375800324
Phu Yen,0.350869825,0.352090842,0.350248379,0.342482704,0.344485924,0.366795119,0.361213613,0.36153332
Quang Binh,0.11886886,0.121613032,0.120352067,0.106176711,0.107041101,0.114840429,0.103980643,0.104646933
