Province,DVI_2015,DVI_2016,DVI_2017,DVI_2018,DVI_2019,DVI_2020,DVI_2021,DVI_2022
An Giang,0.417265074,0.337451256,0.377934466,0.276522172,0.275836366,0.303319237,0.326253221,0.281626661
Ba Ria - Vung Tau,0.223046628,0.158005697,0.184860731,0.144333039,0.126889851,0.160073605,0.18418432,0.139100982
Bac Giang,0.394334893,0.261209986,0.31289969,0.213507904,0.196292106,0.200878337,0.229802944,0.177169211
Bac Kan,0.550283472,0.49627131,0.578254506,0.460592039,0.445219866,0.442497956,0.473066412,0.408829918
Bac Lieu,0.433264251,0.388765008,0.407545225,0.314178197,0.298584809,0.32066772,0.322104935,0.275583879
Bac Ninh,0.255275511,0.158925174,0.199047422,0.120175321,0.099007631,0.113888401,0.155298023,0.115742928
Ben Tre,0.450976467,0.341154671,0.390838069,0.269056536,0.259057812,0.287994084,0.317778018,0.248323081
Binh Dinh,0.411858831,0.291164399,0.349663847,0.25176691,0.233467655,0.241597361,0.284089365,0.225604454
Binh Duong,0.189239871,0.127879465,0.168845939,0.078083859,0.044490136,0.069976172,0.060663831,0.019927588
Binh Phuoc,0.369043034,0.29011431,0.304927245,0.272005708,0.251404669,0.261359985,0.275661394,0.223745264
Binh Thuan,0.377834736,0.293868128,0.343904719,0.245935377,0.239249105,0.245898457,0.252255152,0.228848596
Ca Mau,0.371105203,0.343937546,0.380475738,0.270980855,0.270951891,0.299176635,0.317682175,0.263520332
Can Tho,0.341563328,0.247309595,0.284276502,0.206132714,0.169715634,0.174656695,0.195719774,0.146544914
Cao Bang,0.647369951,0.607695966,0.667982362,0.569842435,0.536031302,0.496366912,0.537024809,0.478121277
Da Nang,0.255697119,0.146756817,0.199349617,0.11473552,0.083455452,0.113338084,0.136062713,0.094137298
Dak Lak,0.459403054,0.394655774,0.44326332,0.353540452,0.326623352,0.374106714,0.371788419,0.326170605
Dak Nong,0.501455384,0.412997483,0.407844288,0.327746317,0.335562574,0.358683509,0.3707179,0.33891081
Dien Bien,0.736235023,0.810582102,0.855846718,0.766920627,0.735355603,0.668700377,0.686265494,0.632274368
