Province,DHI202101,DHI202102,DHI202103,DHI202104,DHI202105,DHI202106,DHI202107,DHI202108,DHI202109,DHI202110,DHI202111,DHI202112
An Giang,0.38317385496440903,0.319286729488049,0.4963009795824345,0.4144600385554563,0.3471132243078926,0.49119259476608274,0.5592252969937284,0.622270910348186,0.5451081125681244,0.5468202112863005,0.5152597644583754,0.49778434072608574
Ba Ria - Vung Tau,0.44105473246290827,0.44286861055662696,0.4464642394867226,0.39744729753756397,0.46763169434569024,0.5972366497300929,0.6224912362042403,0.63008410249359,0.591118383287734,0.5413928375437579,0.48984693417363456,0.48662239468097607
Bac Giang,0.5001833482390208,0.42529037769823425,0.5725634477111097,0.426077807000818,0.468976895201125,0.5374173660233444,0.5661168815159051,0.5541854035106174,0.5028272560479433,0.4417253082727756,0.3566196854160057,0.4030536256319463
Bac Kan,0.563256603478874,0.4571234124785091,0.5706688749978037,0.46016188021535004,0.4853352654940311,0.5217526476662089,0.6229323415627958,0.6351108524494202,0.5823644130897221,0.4886820059106027,0.4541850926476924,0.4095117005821111
Bac Lieu,0.42362476502561913,0.3776808835052948,0.47509617030056644,0.44550061319471534,0.4706439519253999,0.5329335330787759,0.5925672086084725,0.6447459407585628,0.6250609333020869,0.6600435605634147,0.5325181749620793,0.48649559186188013
Bac Ninh,0.5170601599353292,0.5035987389343913,0.5601563025835853,0.409228442746093,0.48228940154722,0.5700324552505859,0.5333336076340877,0.517413334028588,0.46021541471364097,0.45245860204772287,0.37870504723623694,0.42573638518710216
Ben Tre,0.4217964277944275,0.4106236163223817,0.44381855498010564,0.3241107443341485,0.4121156308427739,0.5147359337314512,0.5988122043622391,0.6193716279995445,0.5832365319444992,0.590401929408634,0.4631046269913212,0.47182082911875123
Binh Dinh,0.5461657224353978,0.49572412434041524,0.5315283744247773,0.4635077341226592,0.5610544212164283,0.6133011584909743,0.6174815870529538,0.6470323874823487,0.5170864311430861,0.4853325454228407,0.5055910686165387,0.49739931598122594
Binh Duong,0.33915609580830736,0.32583432908574206,0.3317603138165121,0.26045910789185694,0.2977934207561075,0.4818387805129446,0.521473067593815,0.5131341016513236,0.46762726564960266,0.413329368132361,0.3848668270563503,0.3890160245370076
Binh Phuoc,0.375678930851448,0.35779581020130274,0.3391574038737198,0.30929126414348945,0.3785026127816766,0.5243784093656305,0.5549990040167341,0.5472663196915292,0.5243755086615565,0.4427295666323228,0.4020220295513745,0.3939233191365577
Binh Thuan,0.4057927878178066,0.4259887997364776,0.43270148402636344,0.41969568363199045,0.44199915768201115,0.5492162972053262,0.594245053746459,0.5839610856839195,0.5217546313050483,0.48119830959281856,0.44730225445266975,0.4622433806228009
Ca Mau,0.5201112841014107,0.4567949653959034,0.5834717616264523,0.5305325420849093,0.48630187822941445,0.5864179457812936,0.6337226227806863,0.6764394982814161,0.6092077358777834,0.6711851023842544,0.5629713656366618,0.5427633293149854
Can Tho,0.40733576673557,0.42137641510697543,0.5499359428898605,0.3708264450914453,0.35115904372048073,0.5915358131282191,0.5888944071735382,0.5869807758453668,0.5458694930262794,0.6180071970715859,0.5777896742396731,0.48064772291324603
Cao Bang,0.5705057870923129,0.43766887423657846,0.5313963513764226,0.41401210727218296,0.4653684864794673,0.5020121197238168,0.6001642764436659,0.6125817542047153,0.5815564401317505,0.506579925756625,0.41783254766186023,0.39256680092623153
Da Nang,0.5082399399410273,0.43934711553494254,0.565935005499996,0.5069614752719231,0.6015823878468411,0.5878533266701278,0.6165249557033469,0.6355727140785393,0.5944902396964844,0.5247077957402199,0.5370563425164911,0.48741091099738193
Dak Lak,0.44343792782940045,0.4000126518826947,0.4802977850026461,0.435886192333136,0.5402647227097982,0.6195230573852276,0.6020886261472744,0.5798155697213896,0.4765857314746015,0.42926826259281997,0.42016906481856225,0.4138447140907278
Dak Nong,0.4506707800812322,0.4472131292637441,0.5096685458102106,0.48329032106726105,0.5243666581423461,0.5876439879618187,0.5766314371437595,0.5387283914729255,0.4788903840158805,0.41288545843577207,0.40809166672202185,0.4325739590671068
Dien Bien,0.6130692916207383,0.4222990239620234,0.4308915231520785,0.38975686963726147,0.5416577047158904,0.5394749146575872,0.6135603840043524,0.6204514890705238,0.6072082989901298,0.564968645635777,0.5202920658167786,0.4812090931228632
Dong Nai,0.31203436102761717,0.33046204943461327,0.31355506358828594,0.30476503006403005,0.3736157880956633,0.5296578865443442,0.5250479127041991,0.5139677153477908,0.4960729442684978,0.42474260360808885,0.4061822901123864,0.40523335865844506
Dong Thap,0.3755004640748476,0.41179963651644974,0.4836047825994388,0.32884785356833846,0.2651611680459082,0.5140580081173219,0.5485695619754136,0.5750784757071019,0.5402443592376684,0.5441948412936821,0.5080447534865966,0.46592600931704886
Gia Lai,0.48160734289399804,0.44642405475925195,0.561915278164031,0.46267463723667596,0.5587058165524319,0.6278762689521771,0.610623229502111,0.6024750379329701,0.48414998609285653,0.4195280098485314,0.4064423347631018,0.4051671359447686
Ha Giang,0.5811512675306659,0.44656629542191234,0.5237518086562432,0.4393778179294035,0.44631559230775847,0.48351649176306133,0.601884942478818,0.6027030133569404,0.5646633166010481,0.5489509993794901,0.5083642069380874,0.44195949475910595
Ha Nam,0.5204784755935463,0.4871525803990798,0.5564828869293789,0.40551022551827093,0.5109108934366636,0.5824571690441761,0.5285814671652997,0.5822089783561765,0.5188650062820389,0.536512118133053,0.4440183143507757,0.4696900446365712
Ha Noi,0.5121522786806032,0.4661564212759529,0.5604426711926298,0.40746191818554295,0.4927049587738558,0.5411468593494944,0.5534547991921702,0.6087602976657716,0.5607573491437883,0.48087358191454727,0.42369725054643087,0.44932412398906335
Ha Tinh,0.5974706157577223,0.4701899040870046,0.5549290991507924,0.4151344687512807,0.47538677670670343,0.455377641039495,0.4608175012209551,0.5481678744208445,0.5613626178077525,0.5514819190929668,0.5652935823050034,0.5667093828666941
Hai Duong,0.5470304992713161,0.4713436731968183,0.5985917870977276,0.4338389771244097,0.5121519279987303,0.5592020603721441,0.5455358613158772,0.5818698085462899,0.507686714624342,0.44568381677604924,0.36457763481233585,0.4468782673834744
Hai Phong,0.5907239148700424,0.5232854069880534,0.6279681392028377,0.49956327272904405,0.5889733284661487,0.6033423537533337,0.6071407974702647,0.5926940473195631,0.5208629922927406,0.49927525786355803,0.4570546342326288,0.5136971560366633
Hau Giang,0.4551709646267153,0.3560235877352101,0.4961754608437582,0.44123259961580463,0.44346919984542976,0.5241878706273562,0.5717088636115699,0.6472017283256883,0.6024368214871703,0.6095847273238139,0.5181410367910765,0.506647064231803
Ho Chi Minh,0.4571406382296718,0.4514276929929728,0.458016710016516,0.3845139456082847,0.4198289182923302,0.5701274790586113,0.6125810722521592,0.577604450844883,0.5344336909579029,0.4713886006246161,0.453348335213255,0.5182935872638614
Hoa Binh,0.48515374376169296,0.4184618208111451,0.503210605642568,0.37950983284502676,0.4586624520165667,0.49905482556931585,0.5742445026551857,0.6163193381893285,0.5556429849758653,0.48868377960210463,0.4387933368003048,0.43965880909526045
Hung Yen,0.5002705810462779,0.4529082820984445,0.5764263025044345,0.4077224115832142,0.5092655561053607,0.5812061551429042,0.537000213166427,0.5777653225098477,0.501765539931171,0.4595441218624058,0.3547431853129211,0.4312894063907174
Khanh Hoa,0.4884337179796378,0.45053382862754754,0.47183156437409096,0.4600352338035053,0.4675562748974819,0.5433417283060484,0.5758606418665928,0.6045381166999751,0.530909031777188,0.5006454915121731,0.4944797320553981,0.49143470393014793
Kien Giang,0.42919725824030525,0.3765380077167703,0.5310077025609885,0.4729949288338683,0.4579915317143302,0.5533690097101818,0.54875481709926,0.6146480722824057,0.5814491744680466,0.6341755561687954,0.5468393444941727,0.476354719669934
Kon Tum,0.46047791322298676,0.4362003509118896,0.5991254512068594,0.49575648061448924,0.5318523719031796,0.5754711904720969,0.586188541543144,0.5969386016919916,0.46792954430587735,0.39366845945489864,0.41017148667548414,0.4079666412175014
Lai Chau,0.5798235241876967,0.4313019197447108,0.43938335344133284,0.3810637311481582,0.4884008876752172,0.5022044062282109,0.5997619158220056,0.6100058717583622,0.6151373745266069,0.5807988822128667,0.5234432329611606,0.4536196837134393
Lam Dong,0.41493189552177767,0.42425325388789925,0.4573591019263117,0.4547313995278813,0.4668707387159647,0.5505888537585462,0.5746794735963303,0.5514428012697823,0.5134977861383055,0.4658767844156015,0.43692417510340426,0.4620908176900434
Lang Son,0.5390828340408618,0.46955011945169467,0.6089965046680131,0.48419932384025505,0.4976293860768787,0.5297821730584844,0.6007432035019548,0.6021495361947901,0.547893875250097,0.4768222541062248,0.3887468261694474,0.4003210093008222
Lao Cai,0.5896154050212098,0.4696312233530396,0.4912281552968535,0.436276809939137,0.4928648838928561,0.4989443899124905,0.5890964654924064,0.603897832939518,0.5816475720002646,0.5644901436273025,0.5381027179226886,0.4492344602163542
Long An,0.37387800665385434,0.34216737230912875,0.4086162520707385,0.32548813353365746,0.3254525147310212,0.4965415219013655,0.5175417218305521,0.5489533898477804,0.5300165497648507,0.4957265143550523,0.46670985969832063,0.47940161561915723
