Province,DHI201401,DHI201402,DHI201403,DHI201404,DHI201405,DHI201406,DHI201407,DHI201408,DHI201409,DHI201410,DHI201411,DHI201412,DHI201501,DHI201502,DHI201503,DHI201504,DHI201505,DHI201506,DHI201507,DHI201508,DHI201509,DHI201510,DHI201511,DHI201512,DHI201601,DHI201602,DHI201603,DHI201604,DHI201605,DHI201606,DHI201607,DHI201608,DHI201609,DHI201610,DHI201611,DHI201612
An Giang,0.5911862894304688,0.3008186681142361,0.2654150749507267,0.45446157221174727,0.48578641395620714,0.4279502415731241,0.6284957655685294,0.755263737905101,0.637565548364178,0.4529662540601117,0.5827838862154519,0.44316401626402524,0.44779371022687336,0.4621779571287143,0.7462303417457827,0.7237937152103032,0.6652784773394019,0.6057068344100829,0.8113504238269584,0.8672392720830414,0.7507180605399246,0.7274230442534617,0.6597370537065729,0.6691701291686364,0.6885594848667168,0.6992139678407652,0.7593991074487831,0.7457740016738338,0.538648912371617,0.5196484722655834,0.5288651313107795,0.6701520190521678,0.7368905691846546,0.6490098192178294,0.5429226460065111,0.4706845528504534
Ba Ria - Vung Tau,0.5330670317148798,0.47820786744779764,0.20319496289284045,0.5196375576495649,0.5604322527003163,0.5182372068966496,0.39957702770300846,0.5135669533045655,0.46551913817781665,0.5038413264557611,0.592643703367598,0.6879122267131544,0.7290604983194028,0.655880415390146,0.5563094498585623,0.6858770734188272,0.7201149146831611,0.6916101968939968,0.7205303882187755,0.7280493255017233,0.7245809194114403,0.6426872989795307,0.6759092842104947,0.6586349204766392,0.8082751529141918,0.6492792886135296,0.5458068006066257,0.5639711911543587,0.5806057039681655,0.5976227504350831,0.5742838501176963,0.5901987340599222,0.5882886238354993,0.3933301732364277,0.47695911315305145,0.38159593651067475
Bac Giang,0.25139427709807655,0.33290263190225056,0.3108909578289796,0.493604644433804,0.23251924785513056,0.36826366515654213,0.39588504942606434,0.48350311382678757,0.23701563820101207,0.12459516497256151,0.09199580443167,0.2699361341148345,0.19293709129070072,0.2655253605119737,0.3360674947452433,0.5010723193938245,0.3095738047621283,0.235095487206421,0.2570255604172121,0.3785323120402611,0.13063524995090692,0.07476162167864438,0.05228630884103672,0.12406835483963545,0.07751533784703572,0.18832497117907668,0.2473521965955723,0.2314358483471758,0.2827491406940383,0.31089398302413934,0.34901404631771804,0.39903344204677677,0.37053582937314683,0.3759913810411804,0.3602405294992694,0.4826142453579546
Bac Kan,0.3576806823540721,0.2706255797250346,0.46456322459942756,0.7065226481995059,0.44883441809437985,0.3188622244713357,0.36125483646372997,0.45136036144104386,0.36350917743193883,0.1844543821176744,0.2207905910416169,0.29121512163569147,0.24674885951211423,0.4627620678533572,0.39254440648461314,0.5060919947209479,0.24449430837953695,0.32639531043756514,0.44812214662122224,0.5798432821042617,0.3496401190892182,0.3119282938689313,0.2598731356540929,0.19331184655880873,0.21760634994202221,0.3797714372286741,0.43489734535506025,0.34367648793127853,0.40932578512249806,0.5884888687877387,0.5761568109369255,0.5976681557227664,0.5249207174082675,0.43775382417023556,0.4396331760278338,0.6009361567283379
Bac Lieu,0.4234588723186114,0.388649227846065,0.37300072598982537,0.7104163319964238,0.6001753021542282,0.6729787206606307,0.5870966059148071,0.734429245126403,0.754939853092019,0.7215975558621897,0.6590098710874592,0.42415900540996054,0.23522608931704522,0.29050114993945436,0.4887806948300654,0.6158629476679267,0.6556444502630799,0.4724201757444975,0.5859822850315661,0.6940507122040253,0.6985090186762528,0.6118663954791759,0.609192245297456,0.6178643126371568,0.6437901903719765,0.6046528489819077,0.5750480754196279,0.6066251977297235,0.6144628891989922,0.6680951300461586,0.4954220028236448,0.5935603941064822,0.604672065674074,0.5798521363071939,0.5392802646823779,0.3589542578715244
Bac Ninh,0.594865068159506,0.5053930252254828,0.34594583312146393,0.4601155606552246,0.23288075510995437,0.4428809711981775,0.5140148954034633,0.35912077704683365,0.12042289896530985,0.17424367229853788,0.24511770694300034,0.3595773421894741,0.35310738022921084,0.4554082505279962,0.3333435024231893,0.4417906014709467,0.3607399811825674,0.30136232340467684,0.3615666303179473,0.3760234028842132,0.12606491790201835,0.12444542679452657,0.09851759113745913,0.2269809539869365,0.20102496525000665,0.43732375076328334,0.4278215648840314,0.32100405200834714,0.37198758429940354,0.36609402657674134,0.303431586379276,0.28876681176942426,0.2991685832065382,0.4818824784019976,0.5532596552071628,0.70610508479123
Ben Tre,0.5131756789849091,0.4650483000985406,0.18225663912386597,0.5549723500620076,0.5813888249612773,0.49410740197989506,0.4077708851776276,0.5467859353307667,0.6182157486736595,0.6633915324272743,0.7429862638505811,0.8178888575369385,0.5953897679574691,0.5361694144406524,0.4783727141665675,0.6115121810687785,0.7162777410313407,0.5971501793374726,0.7048518844122201,0.7146809449499494,0.610672055463574,0.40226865590293165,0.5079224422146404,0.5312696180510429,0.68657840168386,0.6293587159360265,0.5866881283526989,0.630291143608304,0.5803029180319501,0.43420780469014214,0.4192289232854833,0.5488454017189152,0.4162672147665839,0.18524211947711708,0.2517969142877255,0.2867355410815795
Binh Dinh,0.6740881381824264,0.6446242337066534,0.7294465123857474,0.7101707443991601,0.7665852628807746,0.8027617767361674,0.7590131171087501,0.7904629380036746,0.5522943270761635,0.3999422576533331,0.6122500043773171,0.5975928660479767,0.47394189718144,0.2503381167315492,0.5051850372280273,0.5530792810747792,0.5739782482572193,0.5299994663072898,0.459246705966049,0.4019680937389887,0.4328034435319431,0.6506370820756096,0.5611526131346223,0.5155068041815132,0.5887721241313397,0.5288408253720501,0.5227472498382126,0.6066415656540749,0.6294685082755438,0.4520730842032058,0.4584402632921738,0.4364247210782674,0.3082930850307074,0.3699341540160877,0.4974229430375257,0.4937506918427375
Binh Duong,0.5647851792426476,0.4417405572942274,0.12294444068655302,0.42566656807309866,0.46323256365134075,0.33806833020068383,0.32143729207349625,0.5630627196343266,0.5390049928161282,0.5725588657198246,0.6022191743896955,0.6416538632956548,0.45347815303065137,0.37330273022365007,0.31481490416043256,0.347980066071786,0.38526220437335384,0.30207957161490867,0.4448925261797959,0.5593705354774494,0.4751204099060947,0.2610734139001789,0.34139574044335314,0.38977499961916307,0.534799592992982,0.41133145252490716,0.38213815203857115,0.5207853018593862,0.4123379850462306,0.3748971558874093,0.37566881393019114,0.43100046221171945,0.31455265055488046,0.10767560981497544,0.15468416473094512,0.036469246208508735
Binh Phuoc,0.8140802907289262,0.6318552159740801,0.28591554158847227,0.4680678128212302,0.5189906806066346,0.4676494541506962,0.38604143522048756,0.579377540388417,0.5758837132694925,0.5815780100236696,0.5815458655185941,0.6745899542096871,0.6396703333612971,0.5572005723522448,0.5234003119359282,0.4888526853984917,0.5350481588663286,0.5599560708923454,0.6699543862965364,0.7106443918511314,0.7140827139216536,0.5919353243032168,0.595703283405812,0.551678798805577,0.6485374644107019,0.48415426456299937,0.4537640007665375,0.5805846456378947,0.6110650822611221,0.6311293121365986,0.6533604303617577,0.6253594755317448,0.6122819425102246,0.298088342869662,0.3502244998373549,0.24384549549052859
